menu,restaurant,happy_winter,happy_winter_snow,happy_winter_rain,happy_fall,happy_fall_rain,happy_summer,happy_summer_rain,happy_spring,happy_spring_rain,sad_spring_rain,sad_spring,sad_summer_rain,sad_summer,sad_fall_rain,sad_fall,sad_winter_rain,sad_winter,sad_winter_snow,angry_winter,angry_winter_snow,angry_winter_rain,angry_fall,angry_fall_rain,angry_summer,angry_summer_rain,angry_spring,angry_spring_rain
들기름모밀,역전우동,0.1,0.1,-0.05,0.1,-0.05,0.1,-0.05,0.6,0.45,0.95,1.1,0.45,0.6,0.45,0.6,0.45,0.6,0.45,0,0,-0.15,0,-0.15,0,-0.15,0.5,0.35
매운모둠어묵우동,역전우동,0.1,0.1,0.2,0.1,0.2,0.15,0.25,0.1,0.2,0.7,0.6,0.75,0.65,0.7,0.6,0.7,0.6,0.7,0,0,0.1,0,0.1,0.05,0.15,0,0.1
김치우동,역전우동,0.1,0.1,0.2,0.1,0.2,0.15,0.25,0.1,0.2,0.7,0.6,0.75,0.65,0.7,0.6,0.7,0.6,0.7,0,0,0.1,0,0.1,0.05,0.15,0,0.1
오뎅우동,역전우동,0.1,0.1,0.2,0.1,0.2,0.15,0.25,0.1,0.2,0.7,0.6,0.75,0.65,0.7,0.6,0.7,0.6,0.7,0,0,0.1,0,0.1,0.05,0.15,0,0.1
새우튀김우동,역전우동,0.1,0.1,0.2,0.1,0.2,0.15,0.25,0.1,0.2,0.7,0.6,0.75,0.65,0.7,0.6,0.7,0.6,0.7,0,0,0.1,0,0.1,0.05,0.15,0,0.1
카레우동,역전우동,0.1,0.1,0.05,0.25,0.2,0.15,0.1,0.1,0.05,0.55,0.6,0.6,0.65,0.7,0.75,0.55,0.6,0.55,0,0,-0.05,0.15,0.1,0.05,0,0,-0.05
소불고기우동,역전우동,0.1,0.1,0.2,0.1,0.2,0.15,0.25,0.1,0.2,0.7,0.6,0.75,0.65,0.7,0.6,0.7,0.6,0.7,0,0,0.1,0,0.1,0.05,0.15,0,0.1
냉우동,역전우동,0.1,0.1,-0.05,0.1,-0.05,0.15,2.78E-17,0.1,-0.05,0.45,0.6,0.5,0.65,0.45,0.6,0.45,0.6,0.45,0,0,-0.15,0,-0.15,0.05,-0.1,0,-0.15
우볶이,역전우동,0.1,-0.2,0.45,0.1,0.45,0.15,0.5,0.1,0.45,0.95,0.6,1,0.65,0.95,0.6,0.95,0.6,0.95,0,-0.3,0.35,0,0.35,0.05,0.4,0,0.35
얼큰우동,역전우동,0.1,0.1,0.2,0.1,0.2,0.15,0.25,0.1,0.2,0.7,0.6,0.75,0.65,0.7,0.6,0.7,0.6,0.7,0,0,0.1,0,0.1,0.05,0.15,0,0.1
소불고기김치덮밥,역전우동,0.1,0,-0.1,0.55,0.35,0.15,-0.05,0.6,0.4,1,1.2,0.55,0.75,0.95,1.15,0.5,0.7,0.5,0.3,0.2,0.1,0.75,0.55,0.35,0.15,0.8,0.6
매콤제육덮밥,역전우동,0.1,0,-0.1,0.55,0.35,0.15,-0.05,0.6,0.4,0.7,0.9,0.25,0.45,0.65,0.85,0.2,0.4,0.2,0.7,0.6,0.5,1.15,0.95,0.75,0.55,1.2,1
돈까스덮밥,역전우동,0.1,-0.2,-0.1,0.1,-0.1,0.15,-0.05,0.6,0.4,1,1.2,0.55,0.75,0.5,0.7,0.5,0.7,0.5,0.3,0,0.1,0.3,0.1,0.35,0.15,0.8,0.6
카레덮밥,역전우동,0.1,-0.1,-0.1,0.25,0.05,0.15,-0.05,0.6,0.4,1,1.2,0.55,0.75,0.65,0.85,0.5,0.7,0.5,0.3,0.1,0.1,0.45,0.25,0.35,0.15,0.8,0.6
매콤치킨마요덮밥,역전우동,0.1,-0.2,-0.1,0.1,-0.1,0.15,-0.05,0.6,0.4,1,1.2,0.8,1,0.5,0.7,0.5,0.7,0.5,0.3,0,0.1,0.3,0.1,0.35,0.15,0.8,0.6
"돈까스덮밥 우동,모밀세트",역전우동,0.1,0.1,-0.1,0.1,-0.1,0.1,-0.1,0.6,0.4,0.9,1.1,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0,0,-0.2,0,-0.2,0,-0.2,0.5,0.3
"카레덮밥 우동, 모밀세트",역전우동,0.1,0.1,-0.1,0.25,0.05,0.1,-0.1,0.6,0.4,0.9,1.1,0.4,0.6,0.55,0.75,0.4,0.6,0.4,0,0,-0.2,0.15,-0.05,0,-0.2,0.5,0.3
